,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
376,Spa,75,BE,1508873100,93,50.48,5.87,60.8,10.29
377,Valcau de Jos,0,RO,1508871600,75,47.12,22.73,48.2,13.87
378,Purepero,40,MX,1508870400,24,19.92,-102.02,78.8,13.87
379,Tandalti,0,SD,1508873951,26,13.02,31.87,78.5,9.64
380,Maragondon,20,PH,1508871600,100,14.23,120.72,77.0,6.4
381,Wyandotte,90,US,1508872440,71,42.21,-83.15,55.4,18.34
382,Saanen,0,CH,1508871000,66,46.49,7.26,51.8,5.82
383,San Miguel,40,PH,1508871600,83,15.15,120.98,75.2,5.82
384,Yamoto,32,JP,1508873953,90,38.43,141.21,46.77,3.04
385,Mezapa,90,HN,1508871600,94,15.58,-87.65,87.8,6.93
386,Huaicheng,24,CN,1508873953,88,23.91,112.19,56.9,2.71
387,Nambour,8,AU,1508873953,100,-26.63,152.95,66.35,3.94
388,Paradise,0,US,1508872500,12,36.1,-115.15,82.4,11.41
389,Ulefoss,90,NO,1508872800,100,59.28,9.26,44.6,16.11
390,Lukow,76,PL,1508873954,91,51.93,22.38,38.27,8.19
391,Puerto Padre,75,CU,1508871000,46,21.2,-76.6,89.6,5.82
392,Rio Negro,8,BR,1508873955,79,-26.11,-49.8,66.62,4.38
393,Apud,0,PH,1508873955,100,13.14,123.29,80.57,10.65
394,Castro Valley,1,US,1508871480,30,37.69,-122.09,87.8,6.93
395,Osinovo,12,RU,1508873956,100,55.88,48.88,22.92,4.16
396,Castro,0,BR,1508873956,68,-24.79,-50.01,66.17,7.4
397,Dale,90,US,1508871360,54,38.17,-86.99,55.4,18.34
398,Mediesu Aurit,0,RO,1508871600,76,47.78,23.15,48.2,6.93
399,Moundsville,90,US,1508871360,54,39.92,-80.74,59.0,13.87
400,Cancuc,76,MX,1508873957,72,16.92,-92.48,66.39,3.27
401,Varasti,75,RO,1508871600,87,44.24,26.25,46.4,21.92
402,Junqueiropolis,8,BR,1508873958,41,-21.51,-51.43,88.89,5.95
403,Thornaby-on-Tees,40,GB,1508872800,71,54.53,-1.3,57.2,11.41
404,New Philadelphia,20,US,1508871360,58,40.49,-81.45,57.2,9.17
405,Arouca,40,TT,1508871600,74,10.63,-61.33,84.2,10.29
406,Mithymna,75,GR,1508872800,82,39.37,26.18,64.4,9.17
407,Calumboyan,90,PH,1508871600,83,10.79,124.03,80.6,2.24
408,Pangao,20,PH,1508871600,100,13.92,121.13,77.0,6.06
409,Labnig,20,PH,1508873960,96,13.38,123.68,72.42,3.15
410,Temizhbekskaya,20,RU,1508873960,80,45.45,40.84,50.19,14.45
411,Craidorolt,24,RO,1508871600,76,47.62,22.7,48.2,6.93
412,La Plata,0,AR,1508871600,31,-34.92,-57.95,75.2,5.82
413,Tokmak,92,UA,1508873960,83,47.25,35.71,43.26,12.66
414,Winslow,1,US,1508871360,15,35.02,-110.7,69.8,5.82
415,Zopilotepe,75,HN,1508871600,70,14.6,-86.27,87.8,4.7
416,Harta,0,HU,1508872500,70,46.7,19.03,48.2,16.11
417,Quetta,0,PK,1508873962,49,30.2,67.01,37.82,2.82
418,Jirlau,88,RO,1508873962,95,45.17,27.17,44.16,24.85
419,Matiguas,75,NI,1508871600,73,12.84,-85.46,77.0,6.93
420,Bakhchysaray,64,UA,1508873963,96,44.75,33.87,55.28,19.26
421,Marilandia,80,BR,1508873963,42,-19.41,-40.54,77.46,11.65
422,Xochistlahuaca,88,MX,1508873964,97,16.78,-98.25,74.99,3.27
423,Lacag,20,PH,1508873964,96,13.16,123.68,72.42,3.15
424,Tagbina,88,PH,1508873965,95,8.45,126.17,72.11,2.59
425,Brejo Santo,20,BR,1508868000,26,-7.49,-38.99,96.8,17.22
426,Dansuli,48,PH,1508873965,100,6.64,124.58,72.96,2.59
427,Ribeirao,40,BR,1508871600,74,-8.51,-35.38,80.6,16.11
428,Maribondo,75,BR,1508871600,74,-9.58,-36.31,78.8,14.99
429,Thaba Nchu,0,ZA,1508871600,40,-29.21,26.84,69.8,3.36
430,Maubeuge,75,FR,1508873400,87,50.28,3.97,60.8,12.75
431,Cayanguan,64,PH,1508873967,98,11.69,122.29,72.11,2.59
432,Simontornya,0,HU,1508873967,94,46.75,18.55,42.68,7.96
433,Kremze,92,CZ,1508873968,91,48.91,14.31,47.0,3.04
434,Patrasaer,12,IN,1508873968,89,23.22,87.52,70.89,2.59
435,Oancea,80,RO,1508873969,82,45.92,28.1,41.06,13.11
436,Lohfelden,75,DE,1508872800,100,51.27,9.53,55.4,10.29
437,Verenchanka,90,UA,1508871600,87,48.55,25.75,44.6,6.71
438,Ishcherskaya,92,RU,1508873970,97,43.72,45.13,51.68,8.3
439,Kauswagan,76,PH,1508873970,100,8.19,124.08,76.7,1.7
440,Anantnag,0,IN,1508873970,72,33.73,75.15,25.31,2.04
441,Paris,0,FR,1508871600,93,48.85,2.35,62.6,4.7
442,Forli,0,IT,1508871300,87,44.22,12.05,55.4,3.36
443,Suzzara,0,IT,1508871300,54,44.99,10.74,55.4,3.36
444,Cordoba,40,AR,1508871600,28,-31.41,-64.18,84.2,19.46
445,Meitingen,0,DE,1508872800,93,48.55,10.85,53.6,4.7
446,Granadilla de Abona,0,ES,1508873400,73,28.12,-16.58,75.2,3.36
447,Dhari,0,IN,1508873973,82,21.33,71.02,65.31,2.71
448,Tagoytoy,20,PH,1508873973,96,13.42,123.68,72.42,3.15
449,Rameshki,80,RU,1508873973,94,57.34,36.05,29.76,5.17
450,Bogovarovo,80,RU,1508873974,92,58.98,47.02,27.96,2.37
451,Jinan,8,CN,1508873974,82,36.67,117.0,35.21,3.49
452,Lakhi,0,PK,1508871600,68,27.85,68.7,71.6,1.7
453,Westervoort,90,NL,1508873100,93,51.96,5.97,62.6,11.41
454,Maslog,20,PH,1508873975,96,13.1,123.77,72.42,3.15
455,Nizza Monferrato,0,IT,1508871000,42,44.77,8.35,62.6,5.82
456,Suchiate,90,MX,1508871600,70,14.55,-92.22,84.2,4.7
457,East Lansing,90,US,1508872500,87,42.74,-84.48,50.0,18.34
458,Bhaktapur,20,NP,1508871000,76,27.68,85.42,55.4,3.36
459,Zacapa,92,GT,1508873976,100,14.97,-89.53,69.81,2.48
460,Langue,40,HN,1508871900,69,13.62,-87.65,91.4,11.41
461,Vittorio Veneto,0,IT,1508871300,87,45.98,12.3,59.0,8.05
462,Highland,5,US,1508871480,11,34.13,-117.21,100.4,14.99
463,Binalbagan,80,PH,1508873978,100,10.19,122.86,73.28,2.59
464,Izbiceni,92,RO,1508873978,100,43.83,24.65,48.98,23.06
465,Orichi,76,RU,1508873978,91,58.4,49.06,26.48,4.61
466,Bernardino de Campos,0,BR,1508873979,65,-23.01,-49.47,77.33,6.73
467,Alcala de Henares,0,ES,1508873400,48,40.48,-3.36,69.8,3.36
468,Marijampole,75,LT,1508872800,74,54.57,23.35,33.8,6.93
469,Oxford,40,GB,1508872800,100,51.75,-1.26,62.6,18.34
470,Kiblawan,92,PH,1508873980,100,6.61,125.24,74.67,3.83
471,Mykolayivka,92,UA,1508873941,78,47.54,30.76,42.5,12.55
472,Pehowa,0,IN,1508873980,69,29.98,76.58,62.84,8.97
473,Suntar,88,RU,1508873980,71,62.14,117.63,28.1,9.64
474,Manay,68,PH,1508873981,100,7.21,126.54,76.92,1.14
475,Sumbawanga,24,TZ,1508873981,64,-7.97,31.62,78.81,13.22
476,Zapadnaya Dvina,24,RU,1508873982,82,56.26,32.07,18.06,6.17
477,Dourbali,0,TD,1508873982,33,11.81,15.86,73.77,6.73
478,Russkiy Aktash,40,RU,1508871600,74,55.04,52.12,28.4,11.18
479,Virton,90,BE,1508872800,100,49.57,5.53,55.4,8.05
480,San Juan Cotzal,92,GT,1508873983,100,15.43,-91.03,61.94,2.15
481,Ihosy,0,MG,1508873983,74,-22.4,46.12,67.07,4.94
482,Chufarovo,56,RU,1508873984,83,54.1,47.34,21.44,3.15
483,Sao Carlos,40,BR,1508871600,33,-22.02,-47.89,89.6,4.7
484,Dale City,75,US,1508872500,60,38.64,-77.31,71.6,9.17
485,Temascalapa,75,MX,1508870940,40,19.83,-98.9,68.0,12.75
486,Sihora,0,IN,1508873985,62,23.48,80.12,61.71,2.37
487,Sultanpur,0,IN,1508873985,43,26.27,82.07,66.53,4.5
488,Vriddhachalam,0,IN,1508873986,93,11.5,79.33,71.93,2.93
489,Zachary,1,US,1508871180,19,30.65,-91.16,71.6,14.99
490,Mayang Imphal,0,IN,1508873986,86,24.62,93.88,57.08,1.36
491,Godech,90,BG,1508873400,100,43.02,23.04,48.2,11.41
492,Palm Harbor,1,US,1508872500,54,28.08,-82.76,80.6,11.77
493,Santo Augusto,0,BR,1508873987,55,-27.85,-53.78,81.92,3.71
494,Lysva,48,RU,1508873988,87,58.11,57.81,24.23,7.74
495,Sucre,88,BO,1508873748,24,-19.03,-65.26,67.29,4.16
496,Arnold,75,GB,1508872800,87,53.0,-1.13,60.8,18.34
497,Imeni Vorovskogo,75,RU,1508871600,74,55.72,38.34,30.2,4.47
498,Sonthofen,0,DE,1508872800,93,47.52,10.28,46.4,1.12
499,Koge,92,DK,1508872800,93,55.46,12.18,51.8,13.87
